,Période,Valeur,Statut
0,2nd Trimestre 2025,3.81,
1,1er Trimestre 2025,3.98,
2,4ème Trimestre 2024,4.25,
3,3ème Trimestre 2024,4.39,
4,2nd Trimestre 2024,4.62,
5,1er Trimestre 2024,4.79,
6,4ème Trimestre 2023,4.72,
7,3ème Trimestre 2023,,M
8,2nd Trimestre 2023,,M
9,1er Trimestre 2023,,M
10,4ème Trimestre 2022,2.68,
11,3ème Trimestre 2022,2.29,
12,2nd Trimestre 2022,1.93,
13,1er Trimestre 2022,1.8,
14,4ème Trimestre 2021,1.81,
15,3ème Trimestre 2021,1.81,
16,2nd Trimestre 2021,1.86,
17,1er Trimestre 2021,1.95,
18,4ème Trimestre 2020,2.0,
19,3ème Trimestre 2020,2.01,
20,2nd Trimestre 2020,1.93,
21,1er Trimestre 2020,1.88,
22,4ème Trimestre 2019,1.96,
23,3ème Trimestre 2019,2.08,
24,2nd Trimestre 2019,2.23,
25,1er Trimestre 2019,2.22,
26,4ème Trimestre 2018,2.26,
27,3ème Trimestre 2018,2.31,
28,2nd Trimestre 2018,2.39,
29,1er Trimestre 2018,2.46,
30,4ème Trimestre 2017,2.52,
31,3ème Trimestre 2017,2.51,
32,2nd Trimestre 2017,2.44,
33,1er Trimestre 2017,2.4,
34,4ème Trimestre 2016,2.53,
