ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo
Abbaretz,1715,1006,2836,1704,682,2935,12,8.3,19.7,11.7,7.6,15,0.3489,44001,44170,Loire-Atlantique,"Abbaretz, Loire-Atlantique, France"
Aigrefeuille-sur-Maine,2704,1673,3682,2630,1052,3875,13,9.6,17,12.7,8.8,15.5,0.3936,44002,44140,Loire-Atlantique,"Aigrefeuille-sur-Maine, Loire-Atlantique, France"
Ancenis,2965,1629,4876,2730,1230,4376,11.8,7.9,19.5,12.4,8,16.3,0.3771,44003,44150,Loire-Atlantique,"Ancenis, Loire-Atlantique, France"
Chaumes-en-Retz,2533,1474,3650,2412,965,3581,13.5,9.4,21.2,12.5,8.9,15.6,0.4045,44005,44320,Loire-Atlantique,"Chaumes-en-Retz, Loire-Atlantique, France"
Assérac,3284,1941,4466,2964,1185,5731,11.4,7.5,16.3,12.8,7.8,16.1,0.4105,44006,44410,Loire-Atlantique,"Assérac, Loire-Atlantique, France"
Avessac,1688,1178,2828,1619,648,3135,10.9,7.9,17.6,10.7,6.6,13.2,0.3337,44007,44460,Loire-Atlantique,"Avessac, Loire-Atlantique, France"
Batz-sur-Mer,4584,2251,7165,5071,2028,10141,13.9,9.4,19.7,14.4,9.9,19.2,0.3777,44010,44740,Loire-Atlantique,"Batz-sur-Mer, Loire-Atlantique, France"
La Bernerie-en-Retz,4950,3119,7463,4534,2360,8431,13.6,10.2,19.5,13.8,10.8,18.3,0.3783,44012,44760,Loire-Atlantique,"La Bernerie-en-Retz, Loire-Atlantique, France"
Besné,2486,1544,3434,2466,1115,3825,12.6,8.7,17.5,12,7.2,14.2,0.3473,44013,44160,Loire-Atlantique,"Besné, Loire-Atlantique, France"
Le Bignon,3359,2605,4340,2660,1064,3728,13.9,10.2,18.4,13.1,9.2,17,0.3496,44014,44140,Loire-Atlantique,"Le Bignon, Loire-Atlantique, France"
Blain,1960,1395,2551,2092,883,3193,11.1,8.2,17.2,11.9,7.1,16.6,0.4901,44015,44130,Loire-Atlantique,"Blain, Loire-Atlantique, France"
La Boissière-du-Doré,1763,1030,3223,1945,778,2626,10.6,6.8,17,10.1,6.9,13.5,0.3894,44016,44430,Loire-Atlantique,"La Boissière-du-Doré, Loire-Atlantique, France"
Bouaye,3240,2480,4314,2956,1390,4356,12.5,9.6,16.2,13.4,9.2,18,0.5128,44018,44830,Loire-Atlantique,"Bouaye, Loire-Atlantique, France"
Bouée,2595,1403,3835,2296,918,3557,12.4,9.2,16.9,12.5,8,16.3,0.3663,44019,44260,Loire-Atlantique,"Bouée, Loire-Atlantique, France"
Villeneuve-en-Retz,2686,1605,3628,2453,981,3939,12.8,8.1,22.9,12.7,8.8,15.4,0.3686,44021,44580,Loire-Atlantique,"Villeneuve-en-Retz, Loire-Atlantique, France"
Boussay,2389,1682,3181,1992,797,3240,10.1,7.3,17.8,10.2,6.8,12.9,0.3893,44022,44190,Loire-Atlantique,"Boussay, Loire-Atlantique, France"
Bouvron,2001,1407,2696,2020,896,3511,12.4,9.2,20.5,12,7.7,16.4,0.4608,44023,44130,Loire-Atlantique,"Bouvron, Loire-Atlantique, France"
Brains,3038,2077,3714,2691,1319,3684,13.4,9.3,18.2,11,6.6,14.3,0.428,44024,44830,Loire-Atlantique,"Brains, Loire-Atlantique, France"
Campbon,2533,1516,3526,2232,995,3503,12.5,9,19.1,11.5,7.2,15.3,0.3274,44025,44750,Loire-Atlantique,"Campbon, Loire-Atlantique, France"
Carquefou,3562,2381,4876,3401,2051,5316,13.7,10.6,20.9,12.2,10.2,16.4,0.3885,44026,44470,Loire-Atlantique,"Carquefou, Loire-Atlantique, France"
Casson,3401,2169,4767,2692,1363,3862,12.7,8.9,17.3,13.9,9.9,17.5,0.4509,44027,44390,Loire-Atlantique,"Casson, Loire-Atlantique, France"
Le Cellier,2840,1410,4433,2541,1016,4088,13.3,8.9,18.5,13.4,9.4,17.6,0.3555,44028,44850,Loire-Atlantique,"Le Cellier, Loire-Atlantique, France"
Divatte-sur-Loire,2715,1819,4353,2426,981,3944,12.9,10.3,21.9,14,9.5,18.8,0.4357,44029,44450,Loire-Atlantique,"Divatte-sur-Loire, Loire-Atlantique, France"
La Chapelle-des-Marais,2567,1620,4112,2417,1016,3912,11.6,8.9,20.5,11.2,7.6,13.2,0.4157,44030,44410,Loire-Atlantique,"La Chapelle-des-Marais, Loire-Atlantique, France"
La Chapelle-Glain,1696,964,2467,1296,519,2449,10.2,6.4,16.1,9.8,6.5,13.2,0.3091,44031,44670,Loire-Atlantique,"La Chapelle-Glain, Loire-Atlantique, France"
La Chapelle-Heulin,2793,2038,3722,2710,1084,3851,12.7,9.3,17.1,13.3,8.5,17,0.3691,44032,44330,Loire-Atlantique,"La Chapelle-Heulin, Loire-Atlantique, France"
La Chapelle-Launay,2528,1414,3688,2318,927,3512,12.6,9.1,17,13.1,8.6,17.3,0.33,44033,44260,Loire-Atlantique,"La Chapelle-Launay, Loire-Atlantique, France"
Châteaubriant,1976,1045,3136,1825,849,2969,11.3,7.6,17.6,11.5,8,16,0.3805,44036,44110,Loire-Atlantique,"Châteaubriant, Loire-Atlantique, France"
Château-Thébaud,2886,2007,3844,2595,1038,3879,13.1,9.7,17.1,12.8,8.6,16.4,0.4059,44037,44690,Loire-Atlantique,"Château-Thébaud, Loire-Atlantique, France"
Chauvé,2355,1085,3635,2729,1091,4145,11.5,9.5,19.8,13.1,9.1,16.3,0.377,44038,44320,Loire-Atlantique,"Chauvé, Loire-Atlantique, France"
Cheix-en-Retz,2984,2047,4140,2746,1098,3698,12.9,8.6,16.6,13.2,8,16.6,0.4666,44039,44640,Loire-Atlantique,"Cheix-en-Retz, Loire-Atlantique, France"
La Chevrolière,3007,2114,3721,2550,1173,3390,13.9,9.2,18.1,12.9,9.2,15.3,0.3746,44041,44118,Loire-Atlantique,"La Chevrolière, Loire-Atlantique, France"
Clisson,3598,2241,4621,3209,1555,5039,13.2,9.9,17,12,7.8,15.8,0.3913,44043,44190,Loire-Atlantique,"Clisson, Loire-Atlantique, France"
Conquereuil,1748,1131,2711,1565,628,3078,9.8,6.2,15.6,9.9,6,14,0.3638,44044,44290,Loire-Atlantique,"Conquereuil, Loire-Atlantique, France"
Cordemais,2322,1052,3743,2588,1420,4341,12.4,8.7,16.6,13.2,8.2,16.7,0.3529,44045,44360,Loire-Atlantique,"Cordemais, Loire-Atlantique, France"
Corsept,2271,908,3602,2831,1380,3994,13.7,9.8,20.7,14.3,9.9,18.2,0.4487,44046,44560,Loire-Atlantique,"Corsept, Loire-Atlantique, France"
Couëron,3143,2116,4416,2914,1470,4333,12.7,9.7,18,13.1,9.6,17.1,0.4725,44047,44220,Loire-Atlantique,"Couëron, Loire-Atlantique, France"
Couffé,2463,1380,4435,2141,908,3136,12.6,8.7,16.5,12.4,9,15.7,0.4202,44048,44521,Loire-Atlantique,"Couffé, Loire-Atlantique, France"
Le Croisic,4565,2432,7543,4789,2296,8277,13.3,8.6,21.3,14.7,11.8,19.1,0.3749,44049,44490,Loire-Atlantique,"Le Croisic, Loire-Atlantique, France"
Crossac,2578,1586,3523,2387,955,3537,11.7,9.6,20.3,11.3,7.5,15.2,0.4396,44050,44160,Loire-Atlantique,"Crossac, Loire-Atlantique, France"
Derval,1717,1055,2835,1825,730,2737,11.5,6.3,20.3,9.8,6.9,12.6,0.3525,44051,44590,Loire-Atlantique,"Derval, Loire-Atlantique, France"
Drefféac,2552,1487,3563,2345,965,3443,11.7,9.6,20.2,10.2,7.2,12.3,0.4094,44053,44530,Loire-Atlantique,"Drefféac, Loire-Atlantique, France"
Erbray,1759,931,2678,1649,660,2557,10.4,7.1,17,10.2,7.1,12.8,0.2971,44054,44110,Loire-Atlantique,"Erbray, Loire-Atlantique, France"
La Baule-Escoublac,7022,3516,12661,6737,2982,11831,14.8,9.6,23.1,15.6,12.4,20.4,0.3667,44055,44500,Loire-Atlantique,"La Baule-Escoublac, Loire-Atlantique, France"
Fégréac,2405,1426,4159,1646,658,3138,10,5.7,17.5,9.6,5.8,14.6,0.4488,44057,44460,Loire-Atlantique,"Fégréac, Loire-Atlantique, France"
Fercé,1901,1026,2732,1572,629,2632,10.4,6.4,17.1,10.1,7.7,13.6,0.3145,44058,44660,Loire-Atlantique,"Fercé, Loire-Atlantique, France"
Frossay,2327,947,4366,2555,1083,4115,11.6,9.6,20.1,13.1,9.1,17.7,0.3993,44061,44320,Loire-Atlantique,"Frossay, Loire-Atlantique, France"
Le Gâvre,1960,1395,2551,1893,757,2996,11.4,8,18.7,11.3,7.9,14.8,0.4575,44062,44130,Loire-Atlantique,"Le Gâvre, Loire-Atlantique, France"
Gétigné,2505,1735,3353,2460,1046,3782,12.6,8.6,20.9,12.2,8.4,15.9,0.3425,44063,44190,Loire-Atlantique,"Gétigné, Loire-Atlantique, France"
Gorges,3595,2395,4443,2704,1082,3919,12.8,9.4,17.1,13,9.2,16.9,0.3803,44064,44190,Loire-Atlantique,"Gorges, Loire-Atlantique, France"
Grand-Auverné,2366,1192,3595,1460,584,2333,11.2,8.1,18.3,10.2,6.4,14.4,0.3137,44065,44520,Loire-Atlantique,"Grand-Auverné, Loire-Atlantique, France"
Guémené-Penfao,2427,1239,3395,1680,672,2855,9.8,6,15.2,9.9,6,14.1,0.4539,44067,44290,Loire-Atlantique,"Guémené-Penfao, Loire-Atlantique, France"
Guenrouet,2525,1485,3533,1932,773,3399,11.4,7.9,18.5,10.4,7.4,13.1,0.4251,44068,44530,Loire-Atlantique,"Guenrouet, Loire-Atlantique, France"
Guérande,3986,2470,5646,4354,2206,7412,14,9.5,19.9,14.4,8.6,19.5,0.4007,44069,44350,Loire-Atlantique,"Guérande, Loire-Atlantique, France"
La Haie-Fouassière,3264,2267,4503,2766,1340,4100,13.1,9.6,17.7,13.1,8.7,16.9,0.414,44070,44690,Loire-Atlantique,"La Haie-Fouassière, Loire-Atlantique, France"
Haute-Goulaine,3515,2524,4525,3165,1324,4972,13.4,10.7,16.8,14.8,11.6,18.7,0.4177,44071,44115,Loire-Atlantique,"Haute-Goulaine, Loire-Atlantique, France"
