,CODE_INSEE,DEP,P22_POP,P16_POP,SUPERF,DENS_LOG_22,REP_MAISON_22,REP_APPART_22,NB_COM_22,TX_EMP_22,CROI_POP_16_22,TX_OCCUP_22,LOG_MEN_22,PART_1529,PART_RES_SECOND,PART_HLM,DENS_POP_22,TX_EMP_22_n,CROI_POP_16_22_n,TX_OCCUP_22_n,LOG_MEN_22_n,PART_RES_SECOND_n,DENS_POP_22_n,POP_LOG_norm,INDICE_TENSION_LOG,INDICE_TENSION,CATEG_TENSION
16178,44001,44,2052.0,2068.0,61.76,15.7,1.0,0.0,14.0,0.743,-0.77,0.917,0.889,0.152,0.028,0.044,33.23,0.6380208333333333,0.3555079861682859,0.7056737588652484,0.8827319587628866,0.035578144853875476,0.0057807296966923384,0.6009437651604481,0.353,0.587,Intermédiaire
16179,44002,44,4120.99999999999,3763.0,14.58,112.4,0.9,0.1,33.0,0.776,9.51,0.961,0.945,0.161,0.016,0.032,282.65,0.7239583333333335,0.5247818211756957,0.8617021276595742,0.9548969072164948,0.020330368487928845,0.05584425750742161,0.655863981749042,0.455,0.694,Tendu
16180,44003,44,11346.0,10595.0,27.58,211.6,0.6,0.4,134.0,0.666,7.09,0.941,0.914,0.168,0.027,0.185,411.39,0.4375,0.4849333113782316,0.7907801418439715,0.9149484536082473,0.03430749682337993,0.0816849221307609,0.7356489608051695,0.434,0.59,Intermédiaire
16181,44005,44,7288.0,6690.99999999999,76.55,43.6,1.0,0.0,46.0,0.744,8.92,0.948,0.907,0.148,0.041,0.026,95.21,0.6406249999999998,0.5150666886217685,0.8156028368794326,0.9059278350515463,0.052096569250317665,0.018221341731448973,0.7007770696783759,0.458,0.653,Tendu
16182,44006,44,1881.0,1797.0,32.91,49.8,1.0,0.0,20.0,0.664,4.67,0.92,0.535,0.121,0.385,0.032,57.16,0.43229166666666674,0.44508480158076735,0.7163120567375887,0.42654639175257736,0.4891994917407878,0.010583954059256493,0.5940915373899212,0.303,0.51,Intermédiaire
16183,44007,44,2451.0,2501.0,76.49,17.7,1.0,0.0,13.0,0.698,-2.0,0.89,0.824,0.146,0.066,0.04,32.04,0.520833333333333,0.335254404742302,0.6099290780141846,0.7989690721649483,0.08386277001270649,0.00554187315714151,0.6149372015086466,0.318,0.518,Intermédiaire
16184,44009,44,9617.0,8867.0,13.74,299.1,0.8,0.2,100.0,0.712,8.46,0.97,0.962,0.152,0.007,0.093,699.93,0.5572916666666665,0.5074921784949779,0.8936170212765955,0.9768041237113401,0.008894536213468869,0.13960060777949726,0.722623459040678,0.477,0.66,Tendu
16185,44010,44,2799.0,2947.00000000001,9.27,453.0,0.8,0.2,28.0,0.602,-5.02,0.966,0.355,0.109,0.611,0.09,301.94,0.27083333333333326,0.28552609912728477,0.8794326241134751,0.19458762886597936,0.7763659466327827,0.05971614208551867,0.6253939854652332,0.288,0.461,Intermédiaire
16186,44012,44,3523.0,2944.0,6.09,676.4,0.9,0.1,32.0,0.651,19.67,0.98,0.434,0.081,0.546,0.025,578.49,0.3984375,0.692079697019595,0.9290780141843973,0.29639175257731953,0.6937738246505718,0.11522519755844458,0.6435141347618831,0.385,0.599,Intermédiaire
16187,44013,44,3317.00000000001,2999.0,17.54,79.5,1.0,0.0,18.0,0.762,10.6,0.963,0.946,0.151,0.017,0.047,189.11,0.6875,0.5427301169109172,0.8687943262411348,0.9561855670103092,0.021601016518424398,0.03706892918003963,0.638768194743052,0.441,0.691,Tendu
16188,44014,44,3967.0,3718.0,27.54,61.4,1.0,0.0,36.0,0.788,6.7,0.959,0.935,0.152,0.024,0.056,144.05,0.7552083333333335,0.47851144409682206,0.854609929078014,0.9420103092783505,0.030495552731893267,0.028024495842089735,0.6528639111248009,0.45,0.69,Tendu
16189,44015,44,10352.0,9686.99999999999,101.72,46.6,0.8,0.2,97.0,0.7,6.86,0.935,0.914,0.151,0.021,0.096,101.77,0.5260416666666665,0.4811460563148362,0.769503546099291,0.9149484536082473,0.02668360864040661,0.019538063495695562,0.7284256302312693,0.441,0.606,Tendu
16190,44016,44,1114.0,1040.0,9.41,49.0,1.0,0.0,6.0,0.779,7.12,0.942,0.923,0.124,0.019,0.025,118.38,0.7317708333333335,0.4854273011691092,0.7943262411347516,0.9265463917525774,0.0241423125794155,0.022872019060350413,0.552845955071979,0.368,0.666,Tendu
16191,44018,44,8280.99999999998,7619.99999999999,13.83,263.9,0.8,0.2,61.0,0.734,8.67,0.968,0.961,0.146,0.007,0.114,598.77,0.6145833333333333,0.5109501070311214,0.8865248226950353,0.9755154639175256,0.008894536213468869,0.11929579471986543,0.7108401130451795,0.479,0.673,Tendu
16192,44019,44,1100.0,956.0,21.29,21.9,1.0,0.0,8.0,0.81,15.06,0.955,0.927,0.128,0.028,0.021,51.67,0.8125,0.616169932488062,0.8404255319148937,0.9317010309278351,0.035578144853875476,0.009482002460824517,0.5518503872039328,0.401,0.726,Tendu
16193,44020,44,20590.0,19049.0,31.5,290.5,0.7,0.3,149.0,0.703,8.09,0.97,0.961,0.169,0.009,0.179,653.65,0.5338541666666665,0.5013996377408201,0.8936170212765955,0.9755154639175256,0.011435832274459974,0.1303112963085625,0.7826005946956598,0.511,0.653,Tendu
16194,44021,44,5004.0,4931.0,73.68,32.8,1.0,0.0,40.0,0.708,1.48,0.944,0.863,0.133,0.081,0.022,67.92,0.5468749999999998,0.39255722048411,0.8014184397163118,0.8492268041237112,0.10292249047013978,0.012743698904270715,0.6711572377991634,0.4,0.596,Intermédiaire
16195,44022,44,2814.0,2632.0,26.45,47.3,1.0,0.0,21.0,0.732,6.91,0.941,0.921,0.142,0.019,0.017,106.39,0.6093749999999998,0.48196937263296563,0.7907801418439715,0.9239690721649485,0.0241423125794155,0.02046538888453996,0.6258149537182773,0.397,0.634,Tendu
16196,44023,44,3067.0,3141.00000000001,47.63,29.8,0.9,0.1,16.0,0.737,-2.36,0.916,0.893,0.15,0.023,0.046,64.39,0.6223958333333333,0.32932652725177014,0.7021276595744683,0.8878865979381443,0.029224904701397714,0.012035158076863634,0.6325959957595437,0.365,0.577,Intermédiaire
16197,44024,44,2760.0,2790.0,15.31,77.3,1.0,0.0,24.0,0.767,-1.08,0.963,0.954,0.136,0.009,0.05,180.27,0.7005208333333333,0.35040342499588345,0.8687943262411348,0.9664948453608246,0.011435832274459974,0.0352945663148049,0.6242888242233342,0.41,0.657,Tendu
16198,44025,44,4031.0,4018.0,49.82,34.6,1.0,0.0,30.0,0.737,0.32,0.942,0.91,0.143,0.033,0.041,80.91,0.6223958333333333,0.3734562819035074,0.7943262411347516,0.9097938144329896,0.041931385006353246,0.015351048861216321,0.654124594616068,0.402,0.615,Tendu
16199,44026,44,20535.0,19384.0,43.42,235.2,0.6,0.4,165.0,0.682,5.94,0.954,0.884,0.216,0.07,0.11,472.94,0.47916666666666674,0.46599703606125475,0.8368794326241131,0.8762886597938144,0.0889453621346887,0.09403922465962943,0.7823898567554785,0.474,0.606,Tendu
16200,44027,44,2600.0,2217.0,16.15,61.9,1.0,0.0,22.0,0.773,17.28,0.972,0.954,0.165,0.018,0.067,160.99,0.7161458333333335,0.6527251770130085,0.9007092198581561,0.9664948453608246,0.022871664548919948,0.03142468893451919,0.6195852398885519,0.453,0.73,Tendu
16201,44028,44,4011.0,3698.0,35.99,50.5,0.9,0.1,27.0,0.717,8.46,0.925,0.904,0.132,0.021,0.024,111.45,0.5703124999999998,0.5074921784949779,0.7340425531914896,0.902061855670103,0.02668360864040661,0.021481030977083822,0.653732793523965,0.399,0.611,Tendu
16202,44029,44,7158.00000000001,6713.00000000001,33.9,91.5,0.9,0.1,59.0,0.747,6.63,0.957,0.945,0.146,0.012,0.041,211.15,0.6484374999999998,0.4773588012514408,0.8475177304964538,0.9548969072164948,0.015247776365946633,0.04149279315625835,0.6993591417605726,0.463,0.662,Tendu
16203,44030,44,4424.0,4109.0,18.05,114.0,0.9,0.1,32.0,0.694,7.67,0.938,0.903,0.138,0.034,0.077,245.1,0.5104166666666665,0.4944837806685329,0.7801418439716312,0.9007731958762886,0.043202033036848796,0.04830722972579671,0.6614527715302343,0.401,0.606,Tendu
16204,44031,44,811.0,816.0,34.5,12.4,1.0,0.0,7.0,0.677,-0.61,0.879,0.841,0.133,0.037,0.047,23.51,0.46614583333333326,0.3581425983863,0.5709219858156027,0.8208762886597938,0.04701397712833545,0.003829733424058675,0.5278605809531258,0.264,0.5,Intermédiaire
16205,44032,44,3443.0,3264.99999999999,13.47,106.2,0.9,0.1,31.0,0.773,5.45,0.955,0.917,0.157,0.037,0.044,255.61,0.7161458333333335,0.4579285361435864,0.8404255319148937,0.9188144329896908,0.04701397712833545,0.050416794625527145,0.6417048465994089,0.429,0.669,Tendu
16206,44033,44,3246.0,2983.0,24.82,53.7,1.0,0.0,19.0,0.766,8.82,0.943,0.928,0.15,0.015,0.016,130.78,0.6979166666666665,0.5134200559855097,0.7978723404255317,0.9329896907216495,0.01905972045743329,0.025360944346426283,0.6370638895598627,0.424,0.665,Tendu
16207,44035,44,20483.0,19348.0,33.42,271.9,0.7,0.3,168.0,0.72,5.87,0.973,0.947,0.158,0.026,0.126,612.9,0.5781249999999998,0.46484439321587356,0.9042553191489362,0.9574742268041236,0.03303684879288437,0.1221319652273051,0.7821900939016297,0.515,0.658,Tendu
16208,44036,44,12231.0,11854.0,33.62,200.2,0.7,0.3,141.0,0.62,3.18,0.906,0.885,0.163,0.021,0.125,363.8,0.31770833333333326,0.4205499753005105,0.666666666666667,0.8775773195876289,0.02668360864040661,0.07213266774653909,0.7415663313383474,0.377,0.508,Intermédiaire
16209,44037,44,3138.0,3007.0,17.64,76.4,1.0,0.0,27.0,0.773,4.36,0.95,0.931,0.143,0.019,0.023,177.89,0.7161458333333335,0.4399802404083649,0.8226950354609928,0.9368556701030928,0.0241423125794155,0.03481685323570323,0.6343986081816979,0.42,0.662,Tendu
16210,44038,44,3035.0,2814.0,40.98,33.6,1.0,0.0,17.0,0.762,7.85,0.959,0.9,0.153,0.059,0.023,74.06,0.6875,0.49744771941379884,0.854609929078014,0.8969072164948453,0.0749682337992376,0.013976118360440541,0.6317698698450793,0.424,0.672,Tendu
16211,44039,44,1172.0,1047.0,8.34,54.1,1.0,0.0,10.0,0.789,11.94,0.984,0.963,0.148,0.021,0.018,140.53,0.7578125,0.5647949942367858,0.9432624113475176,0.9780927835051545,0.02668360864040661,0.027317962212494003,0.5568414615531987,0.41,0.737,Tendu
16212,44041,44,6342.0,5490.0,32.56,83.5,1.0,0.0,43.0,0.796,15.52,0.944,0.934,0.13,0.01,0.056,194.78,0.7760416666666665,0.6237444426148526,0.8014184397163118,0.9407216494845361,0.012706480304955527,0.03820701033907593,0.689823971472623,0.489,0.709,Tendu
16213,44043,44,7458.99999999999,7035.0,11.3,324.2,0.8,0.2,86.0,0.736,6.03,0.957,0.926,0.154,0.031,0.077,660.09,0.6197916666666665,0.46747900543388776,0.8475177304964538,0.9304123711340206,0.03939008894536213,0.1316039316990729,0.7026041591240995,0.457,0.65,Tendu
16214,44044,44,1072.0,1109.0,32.87,17.2,1.0,0.0,10.0,0.702,-3.34,0.906,0.84,0.111,0.066,0.024,32.61,0.5312499999999998,0.3131895274164334,0.666666666666667,0.8195876288659794,0.08386277001270649,0.005656283432388546,0.5498206990330913,0.294,0.534,Intermédiaire
16215,44045,44,3954.0,3691.99999999999,37.2,41.1,1.0,0.0,22.0,0.782,7.1,0.951,0.931,0.133,0.02,0.045,106.29,0.7395833333333335,0.48509797464185744,0.8262411347517729,0.9368556701030928,0.025412960609911054,0.020445316906426446,0.6526053513864118,0.443,0.678,Tendu
16216,44046,44,2615.0,2683.99999999999,23.62,47.5,1.0,0.0,23.0,0.759,-2.57,0.958,0.941,0.151,0.016,0.041,110.71,0.6796875,0.32586859871562657,0.8510638297872339,0.9497422680412371,0.020330368487928845,0.02133249833904381,0.6200383235825344,0.397,0.64,Tendu
16217,44047,44,23541.0,20900.0,44.03,238.1,0.7,0.3,141.0,0.734,12.64,0.96,0.951,0.167,0.008,0.185,534.66,0.6145833333333333,0.5763214226905977,0.8581560283687941,0.9626288659793814,0.010165184243964422,0.10642764955129091,0.7931532337604756,0.537,0.677,Tendu
16218,44048,44,2534.0,2543.0,39.97,26.6,1.0,0.0,22.0,0.766,-0.35,0.949,0.934,0.153,0.014,0.02,63.4,0.6979166666666665,0.3624238432405731,0.8191489361702127,0.9407216494845361,0.017789072426937738,0.011836445493539833,0.617560125117358,0.396,0.642,Tendu
16219,44049,44,4081.0,4066.0,4.5,1208.6,0.6,0.4,49.0,0.639,0.37,0.976,0.392,0.077,0.584,0.103,906.89,0.3671875,0.3742795982216368,0.9148936170212765,0.24226804123711343,0.7420584498094027,0.18114157368322806,0.6550956574036737,0.339,0.518,Intermédiaire
16220,44050,44,2985.0,2926.0,25.85,50.2,1.0,0.0,17.0,0.767,2.02,0.935,0.912,0.143,0.024,0.005,115.47,0.7005208333333333,0.40144903671990784,0.769503546099291,0.9123711340206184,0.030495552731893267,0.022287924497247126,0.6304614532408968,0.399,0.633,Tendu
16221,44051,44,3578.0,3488.0,63.51,26.2,0.9,0.1,33.0,0.718,2.58,0.92,0.897,0.175,0.023,0.04,56.34,0.5729166666666665,0.41067017948295736,0.7163120567375887,0.893041237113402,0.029224904701397714,0.010419363838725671,0.6447343497868144,0.378,0.586,Intermédiaire
16222,44052,44,8117.0,7852.0,48.5,77.4,0.8,0.2,48.0,0.742,3.37,0.911,0.896,0.17,0.015,0.11,167.36,0.6354166666666665,0.4236785773094023,0.6843971631205674,0.8917525773195876,0.01905972045743329,0.0327032739403501,0.7092642397693859,0.422,0.595,Intermédiaire
16223,44053,44,2288.0,2188.0,14.16,68.6,1.0,0.0,13.0,0.758,4.57,0.942,0.925,0.167,0.017,0.039,161.58,0.6770833333333333,0.4434381689445085,0.7943262411347516,0.9291237113402062,0.021601016518424398,0.03154311360538893,0.6095172466503165,0.393,0.645,Tendu
16224,44054,44,3062.0,2983.0,58.18,22.8,1.0,0.0,12.0,0.745,2.65,0.94,0.927,0.159,0.013,0.028,52.63,0.6432291666666665,0.41182282232833856,0.7872340425531914,0.9317010309278351,0.016518424396442185,0.009674693450714263,0.6324674831927,0.397,0.628,Tendu
16225,44055,44,16613.0,15455.0,22.19,1080.8,0.4,0.6,220.0,0.66,7.49,0.965,0.379,0.102,0.587,0.082,748.67,0.421875,0.491519841923267,0.875886524822695,0.22551546391752575,0.7458703939008894,0.1493836899120245,0.7656913783255368,0.415,0.542,Intermédiaire
16226,44056,44,3852.0,3600.99999999999,64.81,25.5,0.9,0.1,23.0,0.782,6.97,0.926,0.903,0.149,0.023,0.043,59.44,0.7395833333333335,0.4829573522147209,0.7375886524822697,0.9007731958762886,0.029224904701397714,0.011041595160244637,0.6505466569662164,0.422,0.649,Tendu
16227,44057,44,2257.0,2447.00000000001,44.18,27.3,1.0,0.0,14.0,0.666,-7.76,0.902,0.814,0.123,0.088,0.032,51.09,0.4375,0.24040836489379222,0.6524822695035462,0.786082474226804,0.11181702668360864,0.00936558498776613,0.6084428855332298,0.298,0.489,Intermédiaire
16228,44058,44,502.0,482.999999999999,22.04,11.2,1.0,0.0,3.0,0.642,3.93,0.898,0.844,0.122,0.054,0.061,22.78,0.375,0.43289972007245187,0.6382978723404258,0.8247422680412371,0.06861499364675985,0.0036832079838300144,0.4901267518975765,0.251,0.512,Intermédiaire
16229,44061,44,3289.00000000001,3227.0,57.22,25.0,1.0,0.0,17.0,0.736,1.92,0.943,0.891,0.123,0.052,0.006,57.48,0.6197916666666665,0.399802404083649,0.7978723404255317,0.8853092783505154,0.06607369758576874,0.010648184389219741,0.6381004700920063,0.394,0.618,Tendu
16230,44062,44,1880.0,1781.0,53.58,16.2,1.0,0.0,12.0,0.708,5.56,0.94,0.877,0.17,0.063,0.014,35.09,0.5468749999999998,0.45973983204347113,0.7872340425531914,0.8672680412371134,0.08005082592121983,0.00615406848960372,0.5940496606750028,0.361,0.607,Tendu
16231,44063,44,3793.99999999999,3621.00000000001,23.97,69.3,0.9,0.1,46.0,0.751,4.78,0.946,0.92,0.146,0.026,0.037,158.28,0.6588541666666665,0.4468960974806521,0.8085106382978724,0.9226804123711341,0.03303684879288437,0.030880738327642928,0.6493515817119404,0.418,0.644,Tendu
16232,44064,44,5090.00000000001,4543.0,15.77,132.4,0.9,0.1,37.0,0.763,12.04,0.959,0.948,0.146,0.011,0.048,322.76,0.6901041666666665,0.5664416268730447,0.854609929078014,0.9587628865979381,0.01397712833545108,0.0638951279287525,0.6724995898399265,0.466,0.693,Tendu
