ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,url,Code_insee
Abbaretz,1715.0,1006.0,2836.0,1704.0,682.0,2935.0,12.0,8.3,19.7,11.7,7.6,15.0,https://www.meilleursagents.com/prix-immobilier/abbaretz-44170/,44001
Aigrefeuille-sur-Maine,2704.0,1673.0,3682.0,2630.0,1052.0,3875.0,13.0,9.6,17.0,12.7,8.8,15.5,https://www.meilleursagents.com/prix-immobilier/aigrefeuille-sur-maine-44140/,44002
Ancenis,2965.0,1629.0,4876.0,2730.0,1230.0,4376.0,11.8,7.9,19.5,12.4,8.0,16.3,https://www.meilleursagents.com/prix-immobilier/ancenis-44150/,44003
Saint-Géréon,2907.0,1649.0,4184.0,2504.0,1183.0,3677.0,12.4,8.2,17.7,12.2,9.4,16.1,https://www.meilleursagents.com/prix-immobilier/saint-gereon-44150/,44003
Chaumes-en-Retz,2533.0,1474.0,3650.0,2412.0,965.0,3581.0,13.5,9.4,21.2,12.5,8.9,15.6,https://www.meilleursagents.com/prix-immobilier/arthon-en-retz-44320/,44005
La Sicaudais,2533.0,1474.0,3650.0,2412.0,965.0,3581.0,13.5,9.4,21.2,12.5,8.9,15.6,https://www.meilleursagents.com/prix-immobilier/la-sicaudais-44320/,44005
Chaumes-en-Retz,2533.0,1474.0,3650.0,2412.0,965.0,3581.0,13.5,9.4,21.2,12.5,8.9,15.6,https://www.meilleursagents.com/prix-immobilier/chemere-44680/,44005
Assérac,3284.0,1941.0,4466.0,2964.0,1185.0,5731.0,11.4,7.5,16.3,12.8,7.8,16.1,https://www.meilleursagents.com/prix-immobilier/asserac-44410/,44006
Pont d'Armes,3284.0,1941.0,4466.0,2964.0,1185.0,5731.0,11.4,7.5,16.3,12.8,7.8,16.1,https://www.meilleursagents.com/prix-immobilier/pont-d-armes-44410/,44006
Avessac,1688.0,1178.0,2828.0,1619.0,648.0,3135.0,10.9,7.9,17.6,10.7,6.6,13.2,https://www.meilleursagents.com/prix-immobilier/avessac-44460/,44007
