ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,city
: le prix du m² partout en France  - Août 2025,2154.0,1181.0,3299.0,1669.0,762.0,2610.0,13.6,9.2,22.0,12.8,9.6,16.7,VILLERS ST BARTHELEMY (60650)
: le prix du m² partout en France  - Août 2025,2673.0,2005.0,3271.0,3510.0,1681.0,5946.0,15.6,11.2,23.6,15.6,11.4,21.1,OGNON (60810)
: le prix du m² partout en France  - Août 2025,2472.0,1850.0,3105.0,3037.0,1678.0,4596.0,15.8,10.6,23.1,18.3,13.7,27.7,VILLERS ST FRAMBOURG (60810)
: le prix du m² partout en France  - Août 2025,2646.0,1677.0,3597.0,2401.0,1075.0,4002.0,15.2,9.1,23.0,15.0,11.5,18.0,VILLERS ST GENEST (60620)
: le prix du m² partout en France  - Août 2025,1984.0,1286.0,2768.0,2071.0,1020.0,3187.0,13.9,9.2,23.1,13.9,10.4,16.6,VILLERS ST PAUL (60870)
: le prix du m² partout en France  - Août 2025,2317.0,1314.0,3417.0,2129.0,852.0,3279.0,13.9,10.2,19.4,14.4,10.7,18.1,VILLERS ST SEPULCRE (60134)
: le prix du m² partout en France  - Août 2025,2294.0,1423.0,3168.0,2540.0,1287.0,3822.0,16.5,11.4,22.5,15.1,10.4,22.6,VILLERS SOUS ST LEU (60340)
: le prix du m² partout en France  - Août 2025,1882.0,1210.0,2693.0,1728.0,691.0,2961.0,11.5,6.8,18.5,11.6,8.0,15.8,VILLERS SUR AUCHY (60650)
: le prix du m² partout en France  - Août 2025,1677.0,1150.0,2398.0,1562.0,639.0,2852.0,13.9,9.8,22.0,13.6,9.9,17.4,VILLERS SUR BONNIERES (60860)
: le prix du m² partout en France  - Août 2025,2265.0,1462.0,3003.0,2197.0,1366.0,3414.0,15.8,11.2,23.3,13.2,9.1,20.0,VILLERS SUR COUDUN (60150)
: le prix du m² partout en France  - Août 2025,1860.0,828.0,2704.0,1617.0,647.0,2486.0,10.0,8.5,11.9,10.9,7.3,12.6,VILLERS VERMONT (60380)
: le prix du m² partout en France  - Août 2025,2233.0,1262.0,3324.0,1325.0,530.0,2329.0,12.1,8.8,20.8,11.0,7.2,17.1,VILLERS VICOMTE (60120)
: le prix du m² partout en France  - Août 2025,1232.0,938.0,1606.0,1341.0,536.0,2560.0,10.7,7.5,14.3,10.2,7.6,14.1,VILLESELVE (60640)
: le prix du m² partout en France  - Août 2025,1730.0,970.0,2697.0,2165.0,1181.0,4329.0,15.1,11.8,23.4,13.1,9.6,16.5,LA NEUVILLE GARNIER (60390)
: le prix du m² partout en France  - Août 2025,1698.0,917.0,2661.0,2170.0,1182.0,4340.0,15.0,11.0,21.2,13.6,10.1,16.6,VILLOTRAN (60390)
: le prix du m² partout en France  - Août 2025,3769.0,2333.0,7277.0,4170.0,2418.0,7381.0,18.4,12.3,27.8,20.0,15.3,26.8,VINEUIL ST FIRMIN (60500)
: le prix du m² partout en France  - Août 2025,1625.0,1080.0,2370.0,1675.0,682.0,2842.0,14.3,9.5,22.6,13.7,9.7,18.3,VROCOURT (60112)
: le prix du m² partout en France  - Août 2025,1733.0,1456.0,2127.0,1840.0,943.0,3457.0,12.1,8.6,19.7,11.2,8.0,15.4,WACQUEMOULIN (60420)
