code_insee,Code_postal,Departement
44001,44170,Loire-Atlantique
44002,44140,Loire-Atlantique
44003,44150,Loire-Atlantique
44003,44150,Loire-Atlantique
44005,44320,Loire-Atlantique
44005,44320,Loire-Atlantique
44005,44680,Loire-Atlantique
44006,44410,Loire-Atlantique
44006,44410,Loire-Atlantique
44007,44460,Loire-Atlantique
44009,44115,Loire-Atlantique
44010,44740,Loire-Atlantique
44012,44760,Loire-Atlantique
44013,44160,Loire-Atlantique
44014,44140,Loire-Atlantique
44015,44130,Loire-Atlantique
44015,44130,Loire-Atlantique
44015,44130,Loire-Atlantique
44016,44430,Loire-Atlantique
44018,44830,Loire-Atlantique
44019,44260,Loire-Atlantique
44020,44340,Loire-Atlantique
44020,44340,Loire-Atlantique
44021,44580,Loire-Atlantique
44021,44580,Loire-Atlantique
44021,44580,Loire-Atlantique
44022,44190,Loire-Atlantique
44023,44130,Loire-Atlantique
44024,44830,Loire-Atlantique
44025,44750,Loire-Atlantique
44026,44470,Loire-Atlantique
44027,44390,Loire-Atlantique
44028,44850,Loire-Atlantique
44029,44450,Loire-Atlantique
44029,44450,Loire-Atlantique
44030,44410,Loire-Atlantique
44031,44670,Loire-Atlantique
44032,44330,Loire-Atlantique
44033,44260,Loire-Atlantique
44035,44240,Loire-Atlantique
44036,44110,Loire-Atlantique
44037,44690,Loire-Atlantique
44038,44320,Loire-Atlantique
44039,44640,Loire-Atlantique
44041,44118,Loire-Atlantique
44041,44118,Loire-Atlantique
44043,44190,Loire-Atlantique
44044,44290,Loire-Atlantique
44045,44360,Loire-Atlantique
44046,44560,Loire-Atlantique
44047,44220,Loire-Atlantique
44047,44220,Loire-Atlantique
44048,44521,Loire-Atlantique
44049,44490,Loire-Atlantique
44050,44160,Loire-Atlantique
44051,44590,Loire-Atlantique
44052,44480,Loire-Atlantique
44053,44530,Loire-Atlantique
44054,44110,Loire-Atlantique
44055,44500,Loire-Atlantique
44056,44130,Loire-Atlantique
44057,44460,Loire-Atlantique
44058,44660,Loire-Atlantique
44061,44320,Loire-Atlantique
44062,44130,Loire-Atlantique
44063,44190,Loire-Atlantique
